悲しい,不安,怒り,嫌悪感,信頼感,驚き,楽しい
ペット,診断,さ,顔,友人,子ども,食べる
死ん,障害,事件,自身,し,子供,旅行
亡くなっ,検査,扱い,女性,あり,思っ,行っ
落とし,病気,間違え,無し,取引,体重,パチンコ
愛犬,なり,車,隣,なし,知り合い,競馬
太っ,地震,自転車,社員,同僚,特に,ドラマ
事故,給料,裏切ら,見,兄弟,使っ,食べ
お気に入り,減っ,ぶつけ,他人,連絡,突然,久しぶり
悲しい,会社,受け,つい,来,娘,買い物
母親,体,言わ,おじさん,旦那,出,写真
死,貯金,文句,男,先輩,わかっ,笑顔
忘れ,なかなか,原因,捨て,聞い,思わ,読ん
キャンセル,上手く,返事,入っ,仕事,知ら,楽しかっ
買っ,いか,つけ,気持ち,信頼,住ん,ゲーム
服,老後,虐待,い,いろいろ,馬券,海外
売り切れ,うまく,暴言,隣人,夫,寒,アーティスト
父,体調,あおり,嘘,確認,知っ,ライブ
祖母,下がっ,運転,感じる,作っ,雪,本
悲しかっ,介護,喧嘩,外国,いつも,いた事,進ん
犬,金銭,後ろ,人間,妻,会っ,ゴルフ
負け,わから,駐車,態度,上司,結婚,ショッピング
父親,高校,レジ,感情,増し,息子,会話
別れ,人生,取ら,不倫,友達,誕生,動画
壊れ,なく,つかれ,風呂,チーム,選手,観
死去,少なく,怒ら,若い,助け,同級生,散歩
癌,続け,なぜ,電車,夫婦,もらっ,楽しみ
飼っ,歯,出し,義母,頼ん,小学生,やり
かかっ,幼稚園,なかっ,席,存在,大会,いっ
祖父,お金,カード,トイレ,支え,プレゼント,酒
怪我,手術,全く,大人,先生,抽選,飲み
身内,事,通勤,周囲,お客様,もう,初めて
猫,受験,新人,男性,話し,芸能人,楽しい
親戚,試験,せ,嫌がらせ,医者,逮捕,姪
思い出し,身体,裏切り,ライン,ずっと,宝くじ,一緒
卒業,調子,怒り,(,病院,当選,応援
飼い,台風,列,発言,かけ,連続,食事
母,お腹,並ん,ポイ捨て,パートナー,成長,釣り
認知,痛い,聞か,悪口,関係,アイドル,テレビ
##,高齢,帰宅,場所,心,予想,遊び
亡くなり,しれ,詐欺,批判,メンバー,びっくり,ネット
悲しく,災害,職員,満員,仲間,ペイ,気分
親,月,言動,汚れ,親友,年齢,料理
なくなっ,なら,世の中,スーパー,頑張っ,解散,番組
飼い犬,足り,意味,挨拶,すぐ,出産,バイク
会え,株価,覚え,違反,き,生まれ,ポイント
傘,治療,政治,駅,信じ,妊娠,休み
離婚,テスト,忙しい,部屋,主人,大阪,野球
落ち,転職,注意,報道,担当,かなり,過ごし
なくし,就職,待っ,汚い,後輩,弟,毎日
帰っ,良く,怒る,ごみ,得,起こっ,ご飯
分かっ,社会,早く,責任,やはり,あまり,遊ん
他界,学校,出さ,臭い,離れ,発見,アイドル
失敗,環境,指示,糞,持っ,報告,孫
実家,経済,自動車,見かけ,言葉,気づい,試合
知人,状況,物,騒い,メール,いきなり,アニメ
入院,生活,遅れ,女,保育園,代表,音楽
チケット,続い,守ら,自己,守っ,多,行き
進ん,借金,ぶつかっ,抱い,説明,変化,甥
兄,しよ,うるさい,ゴキブリ,契約,当たっ,日常
叔母,期限,怒っ,犯罪,相談,上がっ,映画
転勤,ちゃんと,覚える,タバコ,乗っ,当たり,ランチ
財布,決まら,騙さ,口,貸し,懸賞,イベント
死亡,状態,イライラ,座っ,気づい,高,楽しく
自殺,どう,国会,嫌悪,警察,優勝,参加
スマホ,これから,税金,体臭,成功,驚く,過ごす
仲,収入,いくら,,付き合い,驚い,遊ぶ
被害,体力,立っ,,対応,活躍,飲む
外れ,業績,煽り,,悩み,驚き,出かけ
ガン,定年,政府,,困っ,,飲ん
恋人,先,片付け,,医師,,スポーツ
買う,心配,マナー,,社長,,ゆっくり
希望,年金,腹,,しっかり,,趣味
グループ,悪化,騒音,,任さ,,サイト
保育園,天気,バカ,,きちんと,,計画
,鍵,割り込み,,精神,,美味しい
,世界,業者,,安心,,コンサート
,未来,輩,,解決,,外食
,精神,**,,くれ,,勝っ
,,歩道,,依頼,,温泉
,,,,安倍,,おいしい
,,,,任せ,,ドライブ
,,,,手伝っ,,面白い
,,,,通り,,没頭
,,,,フォロー,,カラオケ
,,,,お互い,,
,,,,教え,,
,,,,アドバイス,,
,,,,看護,,
,,,,ボランティア,,
,,,,サポート,,
,,,,絆,,
