Words,Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
アーティスト,0.3917,0.0233,0.0233,0.0,0.216,0.3917,2.7328
アイス,1.2957,0.0,0.0769,0.0,0.0,0.0769,0.9942
アイドル,0.6738,0.04,0.1268,0.24,0.04,0.6738,0.6738
あおり,0.1689,0.0182,3.0525,1.1891,0.0,0.0182,0.0
あげ,1.175,0.0909,0.5455,0.0,0.0909,0.0,0.0909
あたった,0.0,0.0,0.0833,0.0,0.774,1.75,0.0
あった,0.9016,0.9335,0.8384,0.7452,0.4785,0.7761,0.3144
あって,0.6502,0.3314,0.1538,0.0813,1.4025,0.2381,0.1538
あと,0.5619,0.7324,0.5619,0.2609,0.0435,0.0,0.2609
アドバイス,0.0,0.0,0.0961,0.0,4.697,0.0,0.0
あなた,0.0714,0.0714,0.0714,0.2264,1.5,0.0714,0.0714
アニメ,0.25,0.0,0.0417,0.0,0.0,0.0417,3.4215
アパート,0.0909,0.0909,1.175,0.5455,0.0,0.0909,0.0
あまり,0.2246,0.5921,0.4613,0.5258,0.5258,0.8,0.4613
あまりに,0.0,0.0526,1.1053,0.8865,0.0,0.6803,0.0
アメリカ,0.0,0.4644,0.05,0.05,1.05,0.4644,0.3
あり,0.3842,0.8014,0.8014,0.933,1.0678,0.933,0.3842
ある,0.267,0.9271,0.672,1.104,1.8044,0.7555,0.2324
アルバイト,0.0,0.1981,0.375,0.0625,1.0528,0.1981,0.1981
い,0.7089,0.7646,0.21,0.6,0.8785,0.495,0.3459
いい,0.0484,0.318,0.7552,0.9477,0.8988,0.5717,0.8504
いい加減な,0.0,0.0,1.8114,1.2032,0.0,0.0,0.0
いう,0.4947,0.7819,0.5995,0.5292,0.7819,1.2099,0.2982
いか,1.1474,1.4406,1.2437,0.1053,0.0175,0.0,0.0175
いきなり,0.0455,0.0,0.7656,0.2727,0.0,2.0184,0.0
いく,0.0263,2.6189,0.0,0.0263,0.1579,0.0834,0.7868
いくら,0.0,0.9942,1.2957,0.0769,0.0,0.0769,0.0
いけない,0.0323,0.9644,0.9644,0.4169,0.2996,0.1935,0.0
いじめ,0.6728,0.1407,1.5079,2.061,0.0,0.0,0.0
イジメ,0.3158,0.0526,1.3347,0.6803,0.0,0.1668,0.0
いた,0.2683,0.0879,0.841,2.2221,0.5976,0.9253,0.0068
いつ,0.0,4.0453,0.0208,0.1935,0.1935,0.0,0.066
いった,0.0,0.0278,0.0,0.0,0.8305,0.0881,3.0959
いって,0.3693,0.1714,0.3693,0.1714,1.1267,0.0906,0.4813
いつでも,0.0833,0.0,0.0,0.0,2.4914,0.0,0.2642
いつの間にか,0.5455,0.0,0.2882,0.0,0.0909,1.175,0.0
いつまで,0.0,3.8231,0.05,0.05,0.0,0.0,0.0
いつまでも,0.2438,0.0,0.9942,0.9942,0.0,0.0769,0.0
いつも,0.188,0.3774,0.4809,0.248,2.6125,0.5165,0.5165
いて,0.0434,0.1272,0.7493,1.0474,1.7781,0.0822,0.1771
イベント,0.2857,0.0476,0.1509,0.0,0.0,0.1509,2.3569
いま,0.0,0.2642,0.2642,0.0833,0.2642,0.2642,0.5
イライラ,0.0286,0.1714,3.3575,0.3693,0.0,0.0286,0.0
いる,0.101,0.263,0.624,1.7817,1.432,0.2885,0.7452
いろいろ,0.2222,0.2222,0.037,0.4787,1.2813,0.037,0.344
いわ,0.1981,0.0625,0.5805,0.8078,0.0625,0.375,0.0
インターネット,0.0556,0.0,0.516,0.3333,0.1761,0.516,0.516
ウソ,0.1865,0.0588,0.9908,0.9908,0.0,0.1865,0.0
うち,0.0323,0.1023,0.9644,0.1935,0.6774,0.818,0.0323
うつ病,0.2882,2.3054,0.0,0.0,0.0,0.0909,0.0
うまく,0.6273,2.7628,0.531,0.0822,0.393,0.0281,0.2646
うるさい,0.0286,0.0,2.5099,1.5628,0.0,0.0,0.0
エアコン,0.0769,0.4615,0.9942,0.0,0.7144,0.0,0.0
エレベーター,0.0,0.0909,0.5455,1.9091,0.0,0.0,0.0
オークション,0.6192,0.0667,0.6192,0.0667,0.0,0.4,0.2113
おいしい,0.0,0.0,0.0,0.0,0.516,0.0,3.0387
おいて,0.0,0.04,0.6738,0.6738,1.0144,0.24,0.04
おかしい,0.2642,0.0,0.5,1.75,0.0,0.0,0.0
おける,0.1509,0.1509,0.6155,0.2857,1.0,0.0476,0.0476
おじい,2.4,0.0,0.04,0.1268,0.0,0.517,0.1268
おじさん,0.8763,0.0,0.3743,2.6114,0.0222,0.0704,0.0
おしゃべり,0.0,0.0,0.0,0.0667,0.0667,0.0667,2.9604
おっさん,0.0833,0.0,0.2642,2.1133,0.0,0.0,0.0833
おばさん,0.4286,0.0,1.5,0.4286,0.0714,0.0,0.0
お互い,0.0,0.0,0.0625,0.0,3.0935,0.0625,0.0625
お出かけ,0.0455,0.0,0.0455,0.0,0.1441,0.0,3.4756
お前,0.2882,0.0,1.175,0.0909,0.5455,0.0,0.0
お腹,0.387,1.8502,0.0417,0.0417,0.25,0.0417,0.1321
カード,0.5264,0.2902,0.7925,0.0991,0.0991,0.6562,0.1875
かかった,0.718,0.3333,0.0,0.0556,0.516,0.718,0.0
かかって,0.5,0.5,0.774,0.0833,0.0,0.0833,0.0
かかる,0.4615,0.9942,0.0769,0.0769,0.2438,0.0769,0.0
かかわら,0.0667,0.2113,1.1229,0.2113,0.2113,0.2113,0.0
かけ,0.4038,0.5619,0.1378,0.4038,0.5619,0.1378,0.0435
かけた,0.2264,1.2032,0.4286,0.2264,0.0714,0.0,0.0
かけて,0.3006,0.1395,0.3917,0.1395,1.6486,0.5898,0.0233
かなり,0.2996,0.2996,0.2996,0.1023,0.1023,1.7644,0.0323
カフェ,0.0,0.0,0.0909,0.0,0.0,0.5455,1.9091
カラオケ,0.0,0.0,0.0,0.0,0.0,0.0,4.7004
がん,1.9534,0.6016,0.1132,0.0,0.0357,0.4616,0.0
ガン,1.9818,1.3456,0.0303,0.0,0.0303,0.1818,0.0
きか,0.0667,0.0667,2.629,0.0667,0.0,0.0667,0.0
きた,0.0588,0.3529,0.1865,0.3529,0.5463,0.3529,0.0588
きちんと,0.0,0.1622,0.4552,0.1622,3.0122,0.027,0.0
キャンセル,1.2957,0.0,0.9942,0.0769,0.0,0.0,0.0769
キャンプ,0.0,0.0,0.0,0.0,0.0,0.0,4.0875
ギャンブル,0.4286,0.0714,0.6634,0.2264,0.0714,0.0,0.4286
