Words,Emotion-1,Emotion-2,Emotion-3,Emotion-4,Emotion-5
ペット,悲しい,,,,
死んだ,悲しい,,,,
友人,信頼感,,,,
亡くなった,悲しい,,,,
ない,信頼感,,,,
何も,怒り,,,,
して,信頼感,,,,
おっさん,嫌悪感,,,,
嫌な,嫌悪感,,,,
顔,嫌悪感,,,,
さ,怒り,,,,
入学,不安,,,,
診断,不安,,,,
子ども,驚き,,,,
障害,不安,,,,
いう,驚き,,,,
の,楽しい,,,,
あり,信頼感,,,,
思う,不安,,,,
検査,不安,,,,
進ま,不安,,,,
こと,悲しい,,,,
義父,悲しい,,,,
事,怒り,,,,
一,不安,,,,
暮らし,不安,,,,
子供,驚き,,,,
風邪,悲しい,,,,
昔,信頼感,,,,
人,嫌悪感,,,,
食べる,楽しい,,,,
直前,不安,,,,
菓子,悲しい,,,,
落とした,悲しい,,,,
思った,不安,,,,
愛犬,悲しい,,,,
病気,不安,,,,
なった,悲しい,,,,
体重,驚き,,,,
太った,悲しい,,,,
知り合い,驚き,,,,
取引先,信頼感,,,,
方,信頼感,,,,
事故,悲しい,,,,
気に入り,悲しい,,,,
年,悲しい,,,,
旅行,楽しい,,,,
思って,驚き,,,,
家族,楽しい,,,,
合わ,嫌悪感,,,,
なり,不安,,,,
悲しい,悲しい,,,,
母親,悲しい,,,,
死,悲しい,,,,
し,怒り,,,,
忘れて,悲しい,信頼感,,,
キャンセル,悲しい,,,,
買った,悲しい,,,,
服,悲しい,楽しい,,,
行ったら,悲しい,,,,
商品,怒り,,,,
安く,悲しい,,,,
売り,悲しい,,,,
行った,楽しい,,,,
時,信頼感,,,,
まだ,悲しい,,,,
全然,怒り,,,,
地震,不安,,,,
洪水,驚き,,,,
給料,不安,,,,
減った,不安,,,,
父,悲しい,,,,
市,驚き,,,,
特に,驚き,,,,
なし,信頼感,,,,
事件,怒り,,,,
祖母,悲しい,,,,
ボーナス,驚き,,,,
少なかった,悲しい,,,,
大統領,嫌悪感,,,,
犬,悲しい,,,,
姿,楽しい,,,,
悲しかった,悲しい,,,,
同僚,信頼感,,,,
パチンコ,楽しい,,,,
負けた,悲しい,,,,
育児,不安,怒り,,,
ストレス,嫌悪感,楽しい,,,
私,信頼感,,,,
自身,怒り,嫌悪感,,,
都合,嫌悪感,,,,
良い,信頼感,,,,
下,楽しい,,,,
道,不安,,,,
扱い,怒り,,,,
続けて,驚き,,,,
付き合って,悲しい,,,,
女性,嫌悪感,,,,
家,不安,,,,
父親,悲しい,,,,
よう,怒り,,,,
別れ,悲しい,,,,
無し,嫌悪感,,,,
大事に,悲しい,,,,
使って,信頼感,驚き,,,
自分,嫌悪感,,,,
使い,悲しい,嫌悪感,,,
車,怒り,,,,
壊れた,悲しい,,,,
会社,不安,,,,
退職,不安,,,,
する,嫌悪感,,,,
馬鹿に,怒り,,,,
競馬,楽しい,,,,
兄弟,信頼感,,,,
連絡,信頼感,,,,
来た,驚き,,,,
玄関,驚き,,,,
具合,嫌悪感,,,,
隣,嫌悪感,,,,
旦那,信頼感,,,,
突然,驚き,,,,
勤めて,驚き,,,,
先輩,信頼感,,,,
死去,悲しい,,,,
歩いて,怒り,,,,
急に,驚き,,,,
雨,不安,,,,
出した,怒り,,,,
近所,怒り,,,,
亡くなって,悲しい,,,,
癌,悲しい,,,,
がん,悲しい,,,,
