Words,Emotion-1,Emotion-2,Emotion-3,Emotion-4
１,驚き,,,
２,驚き,,,
３,楽しい,,,
アーティスト,楽しい,,,
アイドル,驚き,楽しい,,
あおり,怒り,,,
あった,驚き,,,
あって,信頼感,,,
あと,悲しい,不安,,
アドバイス,信頼感,,,
アニメ,楽しい,,,
あまり,驚き,,,
あり,信頼感,,,
ある,信頼感,,,
アルバイト,嫌悪感,,,
アンケート,楽しい,,,
い,悲しい,,,
いい,嫌悪感,信頼感,,
いう,驚き,,,
いか,悲しい,,,
いきなり,怒り,驚き,,
いく,不安,,,
いくら,怒り,,,
いけない,不安,,,
いじめ,怒り,,,
いた,嫌悪感,,,
いつ,不安,,,
いった,楽しい,,,
いって,楽しい,,,
いつも,信頼感,,,
いて,嫌悪感,,,
イベント,楽しい,,,
イモトアヤコ,驚き,,,
イライラ,怒り,,,
いる,嫌悪感,,,
いろいろ,信頼感,,,
インフルエンザ,悲しい,,,
うち,不安,信頼感,,
うまく,不安,,,
うるさい,怒り,嫌悪感,,
エリカ,驚き,,,
オークション,信頼感,,,
おじさん,嫌悪感,,,
おばさん,嫌悪感,,,
お腹,不安,,,
カード,怒り,,,
かかった,悲しい,不安,,
かかって,怒り,驚き,,
かけて,信頼感,,,
かなり,驚き,,,
カラオケ,楽しい,,,
がん,驚き,,,
ガン,悲しい,,,
きた,嫌悪感,,,
きちんと,信頼感,,,
キャラ,驚き,,,
キャンセル,悲しい,,,
キャンプ,楽しい,,,
クラウドソーシング,怒り,,,
グループ,悲しい,信頼感,,
くれた,信頼感,,,
ゲーム,楽しい,,,
ゴキブリ,嫌悪感,,,
こと,驚き,,,
こども,驚き,,,
このまま,不安,,,
この先,不安,,,
ゴミ,怒り,,,
ゴルフ,楽しい,,,
コンサート,楽しい,,,
コンビニ,嫌悪感,,,
ご飯,楽しい,,,
さ,怒り,,,
サイト,楽しい,,,
サッカー,楽しい,,,
サプライズ,驚き,,,
サポート,信頼感,,,
さらに,怒り,,,
し,怒り,,,
した,悲しい,,,
したら,信頼感,,,
したり,楽しい,,,
しっかり,信頼感,,,
して,信頼感,,,
しよう,不安,,,
ショッピング,楽しい,,,
しれ,不安,,,
す,信頼感,,,
スーパー,嫌悪感,,,
すぐ,信頼感,,,
すごく,悲しい,,,
ずっと,信頼感,,,
スポーツ,楽しい,,,
スマホ,怒り,,,
する,嫌悪感,,,
せ,怒り,,,
せい,怒り,,,
センター,楽しい,,,
その後,怒り,,,
たくさん,楽しい,,,
タスク,悲しい,,,
タバコ,嫌悪感,,,
ため,悲しい,,,
チーム,信頼感,,,
ちえ,驚き,,,
チケット,悲しい,,,
ちゃんと,信頼感,,,
ついた,悲しい,,,
ついて,不安,,,
つか,信頼感,,,
つく,嫌悪感,,,
でき,悲しい,,,
できた,楽しい,,,
できて,楽しい,,,
できる,信頼感,,,
テスト,悲しい,不安,,
テニス,楽しい,,,
テレビ,楽しい,,,
テロ,嫌悪感,,,
トイレ,嫌悪感,,,
とき,楽しい,,,
とくに,驚き,,,
ところ,怒り,信頼感,驚き,
とても,楽しい,,,
ドライバー,怒り,嫌悪感,,
ドライブ,楽しい,,,
トラブル,信頼感,,,
ドラマ,楽しい,,,
な,怒り,嫌悪感,,
ない,嫌悪感,,,
なかった,怒り,驚き,,
なかなか,不安,,,
なく,信頼感,,,
なくて,不安,,,
なくなった,悲しい,,,
なし,信頼感,驚き,,
なぜ,怒り,,,
なった,悲しい,,,
なって,悲しい,,,
なら,不安,,,
なり,不安,,,
なる,不安,,,
に,嫌悪感,,,
ニュース,嫌悪感,,,
ネコ,楽しい,,,
ネット,楽しい,,,
の,嫌悪感,楽しい,,
パートナー,信頼感,,,
バイク,楽しい,,,
バイト,嫌悪感,,,
バス,怒り,,,
パソコン,悲しい,信頼感,楽しい,
パチンコ,楽しい,,,
バレンタイン,驚き,,,
パワハラ,嫌悪感,,,
バンド,楽しい,,,
ひいて,嫌悪感,,,
びっくり,驚き,,,
ひと,嫌悪感,,,
ひどい,嫌悪感,,,
フォロー,信頼感,,,
プレゼント,驚き,,,
ペット,悲しい,,,
ボーナス,悲しい,不安,,
ポイ,嫌悪感,,,
ポイント,驚き,,,
ほしい,信頼感,,,
ほど,悲しい,,,
ボランティア,嫌悪感,信頼感,,
まだ,驚き,,,
マナー,怒り,,,
ママ,楽しい,,,
マンション,怒り,,,
み,驚き,,,
ミス,悲しい,,,
みた,嫌悪感,,,
みて,楽しい,,,
みんな,楽しい,,,
メール,信頼感,,,
メンバー,信頼感,,,
もう,嫌悪感,驚き,,
もの,楽しい,,,
もらえる,不安,,,
もらった,驚き,,,
やつ,嫌悪感,,,
やって,信頼感,,,
やはり,信頼感,,,
やり,怒り,,,
やる,怒り,,,
ゆっくり,楽しい,,,
よく,信頼感,,,
よる,不安,,,
ラーメン,楽しい,,,
ライブ,楽しい,,,
ライン,嫌悪感,,,
ラグビー,驚き,,,
ラッシュ,驚き,,,
ランチ,楽しい,,,
ルール,怒り,,,
レジ,怒り,,,
ローマ,驚き,,,
わかった,驚き,,,
わから,不安,,,
一,不安,,,
一番,信頼感,楽しい,,
一緒に,楽しい,,,
万,悲しい,,,
三,悲しい,,,
上,怒り,嫌悪感,,
上がった,驚き,,,
上司,信頼感,,,
上手く,不安,,,
下,信頼感,,,
不倫,嫌悪感,,,
不安,不安,,,
不安だ,不安,,,
不安だった,不安,,,
不安である,不安,,,
不安です,不安,,,
不安な,不安,,,
不安に,不安,,,
不良,不安,,,
世の中,怒り,,,
世界,不安,,,
世話,信頼感,,,
両親,悲しい,,,
中,嫌悪感,,,
中学,悲しい,楽しい,,
主人,信頼感,,,
久しぶりに,楽しい,,,
乗って,信頼感,,,
乗り,怒り,,,
予報,驚き,,,
予定,悲しい,,,
予想,悲しい,信頼感,驚き,
事,驚き,,,
事件,怒り,,,
事故,悲しい,,,
二,驚き,,,
亡くなった,悲しい,,,
亡くなり,悲しい,,,
交通,悲しい,,,
京都,楽しい,,,
人,嫌悪感,,,
人生,不安,,,
人間,嫌悪感,,,
今,不安,,,
今年,驚き,,,
今後,不安,,,
今日,嫌悪感,驚き,,
介護,不安,,,
仕事,信頼感,,,
仕事場,信頼感,,,
他人,嫌悪感,,,
他界,悲しい,,,
付き,不安,驚き,,
付き合い,信頼感,,,
代表,驚き,,,
以前,信頼感,楽しい,,
仲,悲しい,,,
仲間,信頼感,,,
件,嫌悪感,驚き,,
任さ,信頼感,,,
任せ,信頼感,,,
休み,楽しい,,,
休日,楽しい,,,
休止,驚き,,,
会,楽しい,,,
会った,驚き,,,
会って,楽しい,,,
会社,不安,,,
会話,楽しい,,,
住んで,驚き,,,
住人,嫌悪感,,,
体,嫌悪感,,,
体力,不安,,,
体調,不安,,,
体重,驚き,,,
何,怒り,,,
何も,怒り,,,
何度,怒り,,,
作った,悲しい,楽しい,,
作って,信頼感,,,
使い,不安,嫌悪感,,
