Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
あと,あと,あおり,アルバイト,あって,アイドル,アーティスト
い,いく,いきなり,いい,アドバイス,あった,アイドル
いか,いけない,いくら,いた,あり,あまり,アニメ
インフルエンザ,いつ,いじめ,いて,ある,いう,アンケート
かかった,うち,イライラ,いる,いい,いきなり,いった
ガン,うまく,うるさい,うるさい,いつも,イモトアヤコ,いって
キャンセル,お腹,カード,おじさん,いろいろ,エリカ,イベント
グループ,かかった,かかって,おばさん,うち,かかって,カラオケ
した,このまま,クラウドソーシング,きた,オークション,かなり,キャンプ
すごく,この先,ゴミ,ゴキブリ,かけて,がん,ゲーム
タスク,しよう,さ,コンビニ,きちんと,キャラ,ゴルフ
ため,しれ,さらに,スーパー,グループ,こと,コンサート
チケット,ついて,し,する,くれた,こども,ご飯
ついた,テスト,スマホ,タバコ,サポート,サプライズ,サイト
でき,なかなか,せ,つく,したら,ちえ,サッカー
テスト,なくて,せい,テロ,しっかり,とくに,したり
なくなった,なら,その後,トイレ,して,ところ,ショッピング
なった,なり,ところ,ドライバー,す,なかった,スポーツ
なって,なる,ドライバー,な,すぐ,なし,センター
パソコン,ボーナス,な,ない,ずっと,バレンタイン,たくさん
ペット,もらえる,なかった,に,チーム,びっくり,できた
ボーナス,よる,なぜ,ニュース,ちゃんと,プレゼント,できて
ほど,わから,バス,の,つか,ポイント,テニス
ミス,一,マナー,バイト,できる,まだ,テレビ
万,上手く,マンション,パワハラ,ところ,み,とき
三,不安,やり,ひいて,トラブル,もう,とても
両親,不安だ,やる,ひと,なく,もらった,ドライブ
中学,不安だった,ルール,ひどい,なし,ラグビー,ドラマ
予定,不安である,レジ,ポイ,パートナー,ラッシュ,ネコ
予想,不安です,上,ボランティア,パソコン,ローマ,ネット
事故,不安な,世の中,みた,フォロー,わかった,の
亡くなった,不安に,乗り,もう,ほしい,上がった,バイク
亡くなり,不良,事件,やつ,ボランティア,予報,パソコン
交通,世界,何,ライン,メール,予想,パチンコ
他界,人生,何も,上,メンバー,事,バンド
仲,今,何度,不倫,やって,二,ママ
作った,今後,児童,中,やはり,今年,みて
使え,介護,全く,人,よく,今日,みんな
傘,付き,出さ,人間,一番,付き,もの
働いて,会社,出した,今日,上司,代表,ゆっくり
兄,体力,分から,他人,下,件,ラーメン
入院,体調,列,件,世話,休止,ライブ
公表,使い,前,住人,主人,会った,ランチ
出,借金,割り,体,乗って,住んで,一番
出した,健康,勉強,使い,予想,体重,一緒に
出来,先,勝手に,入って,仕事,使用,中学
出来事,出る,原因,入れて,仕事場,偶然,久しぶりに
切れて,力,取ら,全て,付き合い,優勝,京都
別れ,収入,受けた,出た,以前,先日,以前
券,受験,周り,別の,仲間,全然,休み
勉強,台風,問題,剤,任さ,円,休日
卒業,合格,喧嘩,動画,任せ,最近,会
叔母,回復,国,化粧,作って,冬,会って
受けて,地震,国会,口,依頼,出た,会話
合わ,増えて,国民,同じ,保育,出て,作った
商品,増税,場,周囲,保険,出る,入った
園,外出,声,品,信用,出産,内容
増えた,夜,多い,員,信頼,動物,写真
壊れた,大丈夫,多く,嘘,修理,受けて,出かけた
壊れて,天気,大人,報道,兄弟,古い,出た
売り,始めた,姉,場所,先生,同級生,出来て
夢,学校,嫌がらせ,外,先輩,品,初めて
大きく,安定,学校,外国,具合,回復,動画
大事な,定年,守ら,大人,再会,園,勝った
大切に,将来,家,女,出来た,堀,参加
大好きな,少し,家事,女児,出来る,報告,園
失敗,少ない,小学生,女性,分から,変化,外食
実家,少なく,帰宅,奴,利用,外,好きな
家庭,就職,平気で,嫌いな,助け,多,姪
寝,帰り,店員,嫌がらせ,助けて,大会,姿
小学生,常に,度,嫌な,勉強,大学,孫
希望,年金,弟,嫌悪,医師,大阪,応援
年,幼稚園,待ち,客,医者,女優,恋人
店,引っ越し,待って,対して,友,妊娠,情報
式,待ち,後ろ,対する,友人,娘,散歩
心,後,忙しい,席,友達,子,料理
忘れて,心配,怒った,店,取引先,子ども,新しい
応募,思う,怒ら,度,同僚,子供,旅行
応援,思った,怒り,役員,品,宝くじ,日
怪我,思わ,怒る,従業,回答,寒,日々
恋人,悪く,恋愛,得,園,小学生,映画
悲しい,悪化,悪い,患者,声,尻,時
悲しかった,手術,意味,悪,天皇,嵐,時間
悲しく,故障,所,悪かった,夫,年齢,朝
愛,日本,扱い,感,夫婦,弟,本
愛犬,明日,指示,感じる,失敗,当たった,楽しい
数,景気,捨て,感情,契約,当選,楽しかった
施設,月,接客,態度,妹,彼氏,楽しく
服,期限,政府,手,妻,思って,毎日
期限,未来,政治,批判,姿,急に,気分
楽しみに,本当に,文句,投稿,嫁,息子,没頭
様,来,新人,抱いた,存在,懸賞,海外
欲しい,来た,早く,持つ,学生,成長,温泉
死,来る,暴言,持った,守って,抽選,生きて
死んだ,来年,朝,挨拶,安倍,有名,甥
死んで,株価,桜,掃除,安心,期待,番組
死亡,検査,業者,携帯,家庭,来,立ち
死去,業績,横,柔軟,家族,東京,競馬
母,様,歩き,歩いて,対し,機,笑い
母親,歯,歩道,気持ち,対応,水泳,笑顔
気に入り,気,水,汚い,屋,江,紅葉
父,決まら,注意,浮気,師,池,美味しい
父親,治療,煽ら,満員,帰って,沢,色々
犬,消費,煽り,無い,弟,活動,菓子
